Domain,Base Domain,Scanned Hostname,SSLv2,SSLv3,TLSv1.0,TLSv1.1,TLSv1.2,Any Forward Secrecy,All Forward Secrecy,Weakest DH Group Size,Any RC4,All RC4,Any 3DES,Key Type,Key Length,Signature Algorithm,SHA-1 in Served Chain,SHA-1 in Constructed Chain,Not Before,Not After,Highest Served Issuer,Highest Constructed Issuer,Errors
acadia.sec.gov,sec.gov,acadia.sec.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
acamm.llnl.gov,llnl.gov,acamm.llnl.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
acanolab-webrtc.senate.gov,senate.gov,acanolab-webrtc.senate.gov,False,False,False,False,True,True,True,256,False,False,False,,,,,,,,,,
acanolab.senate.gov,senate.gov,acanolab.senate.gov,False,False,False,False,True,True,True,256,False,False,False,,,,,,,,,,
acast.grc.nasa.gov,nasa.gov,acast.grc.nasa.gov,False,False,True,True,True,False,False,,False,False,False,,,,,,,,,,
acc.fafsa.ed.gov,ed.gov,acc.fafsa.ed.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
acc.fafsacm.ed.gov,ed.gov,acc.fafsacm.ed.gov,False,False,False,True,True,False,False,,False,False,False,,,,,,,,,,
acce-ops.jpl.nasa.gov,nasa.gov,acce-ops.jpl.nasa.gov,False,False,False,False,True,True,True,256,False,False,False,,,,,,,,,,
acce.jpl.nasa.gov,nasa.gov,acce.jpl.nasa.gov,False,False,False,False,True,True,True,256,False,False,False,,,,,,,,,,
access-cc.fhfa.gov,fhfa.gov,access-cc.fhfa.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
access-colo.fhfa.gov,fhfa.gov,access-colo.fhfa.gov,False,False,True,True,True,True,False,521,False,False,False,,,,,,,,,,
access-ipsas.cdc.gov,cdc.gov,access-ipsas.cdc.gov,False,False,False,False,True,True,False,256,False,False,True,,,,,,,,,,
access-s1.usdoj.gov,usdoj.gov,access-s1.usdoj.gov,False,True,True,True,True,True,False,256,True,False,True,,,,,,,,,,
access.afsc.noaa.gov,noaa.gov,access.afsc.noaa.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
access.anl.gov,anl.gov,access.anl.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
access.bpa.gov,bpa.gov,access.bpa.gov,False,False,False,False,True,True,False,2048,False,False,False,,,,,,,,,,
access.cdc.gov,cdc.gov,access.cdc.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
access.co-ops.nos.noaa.gov,noaa.gov,access.co-ops.nos.noaa.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
access.csosa.gov,csosa.gov,access.csosa.gov,False,False,True,False,False,True,False,256,False,False,True,,,,,,,,,,
access.doe.gov,doe.gov,access.doe.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
access.doi.gov,doi.gov,access.doi.gov,False,False,False,False,True,True,True,256,False,False,False,,,,,,,,,,
access.dot.gov,dot.gov,access.dot.gov,False,False,True,True,True,True,False,521,False,False,False,,,,,,,,,,
access.earthdata.nasa.gov,nasa.gov,access.earthdata.nasa.gov,False,False,True,True,True,True,False,384,False,False,False,,,,,,,,,,
access.er.usgs.gov,usgs.gov,access.er.usgs.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
access.fda.gov,fda.gov,www.access.fda.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
access.gao.gov,gao.gov,access.gao.gov,False,False,False,True,True,True,False,256,False,False,True,,,,,,,,,,
access.ginniemae.gov,ginniemae.gov,access.ginniemae.gov,False,False,True,True,True,True,False,256,True,False,True,,,,,,,,,,
access.hrsa.gov,hrsa.gov,access.hrsa.gov,False,False,True,False,False,True,False,256,False,False,False,,,,,,,,,,
access.llnl.gov,llnl.gov,access.llnl.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
access.max.gov,max.gov,access.max.gov,False,False,True,True,True,True,False,2048,False,False,False,,,,,,,,,,
access.nifc.gov,nifc.gov,access.nifc.gov,,,,,,,,,,,,,,,,,,,,,Connectivity not established.
access.nsf.gov,nsf.gov,access.nsf.gov,False,False,True,True,True,False,False,,False,False,True,,,,,,,,,,
access.ntc.doe.gov,doe.gov,access.ntc.doe.gov,False,False,True,True,True,True,False,570,False,False,False,,,,,,,,,,
access.nv.doe.gov,doe.gov,access.nv.doe.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
