Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS
savingsbonds.gov,savingsbonds.gov,https://savingsbonds.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True
savingsbondwizard.gov,savingsbondwizard.gov,https://savingsbondwizard.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True
sba.gov,sba.gov,https://www.sba.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
sbir.gov,sbir.gov,https://www.sbir.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
sbst.gov,sbst.gov,https://sbst.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
sc-us.gov,sc-us.gov,http://sc-us.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
scidac.gov,scidac.gov,http://www.scidac.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
science.gov,science.gov,https://www.science.gov,True,False,,True,True,False,True,False,False,False,False,,,True,False,False,False,False,True,True,False
science360.gov,science360.gov,https://science360.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True
sciencebase.gov,sciencebase.gov,https://www.sciencebase.gov,True,False,,True,True,False,True,False,False,False,True,max-age=63072000; includeSubdomains; preload,63072000,True,True,False,True,True,True,True,True
scijinks.gov,scijinks.gov,https://scijinks.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True
scinet-test.gov,scinet-test.gov,http://scinet-test.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
scinet.gov,scinet.gov,http://scinet.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
scra.gov,scra.gov,http://scra.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
