Domain,Base Domain,censys-snapshot,rdns-snapshot,dap,eot2016,parents
2004annualreport.nichd.nih.gov,nih.gov,False,False,False,True,False
2005-2009-bmena.state.gov,state.gov,False,False,False,True,False
2005annualreport.nichd.nih.gov,nih.gov,False,False,False,True,False
2006-2009-cafc.state.gov,state.gov,False,False,False,True,False
2006-2009.pepfar.gov,pepfar.gov,True,False,True,True,False
2006annualreport.nichd.nih.gov,nih.gov,False,False,False,True,False
2006nichdretreat.nichd.nih.gov,nih.gov,False,False,False,True,False
2007annualreport.nichd.nih.gov,nih.gov,False,False,False,True,False
2008-2009.app.gov,app.gov,False,False,False,True,False
2008annualreport.nichd.nih.gov,nih.gov,False,False,False,True,False
2008tcmconference.volpe.dot.gov,dot.gov,False,False,False,True,False
2009-2017-fpc.state.gov,state.gov,True,False,True,False,False
2009-2017-usun.state.gov,state.gov,True,False,True,False,False
2009-2017.pepfar.gov,pepfar.gov,True,False,True,False,False
2009-2017.state.gov,state.gov,True,False,True,False,False
2009annualreport.nichd.nih.gov,nih.gov,False,False,False,True,False
2010-2014.commerce.gov,commerce.gov,False,False,True,True,False
2010.census.gov,census.gov,False,False,False,True,False
2010annualreport.nichd.nih.gov,nih.gov,False,False,False,True,False
2011.census.gov,census.gov,False,False,False,True,False
2011annualreport.nichd.nih.gov,nih.gov,False,False,False,True,False
2011showcase.lbl.gov,lbl.gov,False,False,False,True,False
2011usersmeeting.conference.anl.gov,anl.gov,False,False,False,True,False
2012-keystonepipeline-xl.state.gov,state.gov,True,False,True,False,False
2012annualreport.nichd.nih.gov,nih.gov,False,False,False,True,False
2012serviceimpact.challenge.gov,challenge.gov,False,False,False,True,False
2012sgr.challenge.gov,challenge.gov,False,False,False,True,False
2013.volunteeringinamerica.gov,volunteeringinamerica.gov,False,False,False,True,False
2013annualreport.nichd.nih.gov,nih.gov,False,False,False,True,False
2013serviceimpact.challenge.gov,challenge.gov,False,False,False,True,False
2014-2017.commerce.gov,commerce.gov,False,False,True,False,False
2016.bbg.gov,bbg.gov,True,False,False,False,False
2016.export.gov,export.gov,True,False,True,True,False
2016.trade.gov,trade.gov,False,False,True,False,False
2017dodtransition.defense.gov,defense.gov,True,False,True,False,False
2021887.ksc.nasa.gov,nasa.gov,False,False,False,True,False
