Domain,Base Domain,Participates in Analytics
indianaffairs.gov,indianaffairs.gov,True
inel.gov,inel.gov,False
info.gov,info.gov,False
inl.gov,inl.gov,False
innovation.gov,innovation.gov,True
insurekidsnow.gov,insurekidsnow.gov,True
integrity.gov,integrity.gov,True
intelink.gov,intelink.gov,False
intelligence.gov,intelligence.gov,False
intelligencecareers.gov,intelligencecareers.gov,False
interior.gov,interior.gov,False
interpol.gov,interpol.gov,False
invasivespecies.gov,invasivespecies.gov,False
invasivespeciesinfo.gov,invasivespeciesinfo.gov,True
investor.gov,investor.gov,True
ioss.gov,ioss.gov,False
ipac.gov,ipac.gov,False
ipm.gov,ipm.gov,False
ipp.gov,ipp.gov,True
iprcenter.gov,iprcenter.gov,False
irs.gov,irs.gov,True
irsauctions.gov,irsauctions.gov,False
irsnet.gov,irsnet.gov,False
irssales.gov,irssales.gov,False
irsvideos.gov,irsvideos.gov,False
ise.gov,ise.gov,False
isitdoneyet.gov,isitdoneyet.gov,False
isotope.gov,isotope.gov,False
isotopes.gov,isotopes.gov,False
istac.gov,istac.gov,False
itap.gov,itap.gov,True
itc.gov,itc.gov,False
itdashboard.gov,itdashboard.gov,True
itis.gov,itis.gov,True
itrd.gov,itrd.gov,True
its.gov,its.gov,True
jamesmadison.gov,jamesmadison.gov,False
jccbi.gov,jccbi.gov,False
jccs.gov,jccs.gov,False
jct.gov,jct.gov,False
jem.gov,jem.gov,False
jewishheritage.gov,jewishheritage.gov,False
jewishheritagemonth.gov,jewishheritagemonth.gov,False
jimmycarterlibrary.gov,jimmycarterlibrary.gov,True
jobcorps.gov,jobcorps.gov,False
judicialconference.gov,judicialconference.gov,False
juniorforestranger.gov,juniorforestranger.gov,False
jusfc.gov,jusfc.gov,False
justice.gov,justice.gov,True
justthinktwice.gov,justthinktwice.gov,True
juvenilecouncil.gov,juvenilecouncil.gov,True
jwod.gov,jwod.gov,False
kapl.gov,kapl.gov,False
kennedy-center.gov,kennedy-center.gov,False
kids.gov,kids.gov,False
klamathrestoration.gov,klamathrestoration.gov,False
labor.gov,labor.gov,False
lacoast.gov,lacoast.gov,False
landfire.gov,landfire.gov,True
landimaging.gov,landimaging.gov,False
lanl.gov,lanl.gov,False
law.gov,law.gov,False
lbl.gov,lbl.gov,False
lca.gov,lca.gov,False
lcacommons.gov,lcacommons.gov,True
lcrmscp.gov,lcrmscp.gov,True
lctl.gov,lctl.gov,False
learnatf.gov,learnatf.gov,False
learndoj.gov,learndoj.gov,False
leo.gov,leo.gov,False
lep.gov,lep.gov,True
letgirlslearn.gov,letgirlslearn.gov,True
libraryofcongress.gov,libraryofcongress.gov,False
lifeline.gov,lifeline.gov,False
lis.gov,lis.gov,False
listenstoyou.gov,listenstoyou.gov,False
listo.gov,listo.gov,True
literacy.gov,literacy.gov,False
llnl.gov,llnl.gov,False
lmrcouncil.gov,lmrcouncil.gov,False
lmvsci.gov,lmvsci.gov,True
loc.gov,loc.gov,False
locatorplus.gov,locatorplus.gov,False
loctps.gov,loctps.gov,False
login.gov,login.gov,True
longtermcare.gov,longtermcare.gov,False
lps.gov,lps.gov,False
lsc.gov,lsc.gov,False
macpac.gov,macpac.gov,False
mail.gov,mail.gov,False
majorityleader.gov,majorityleader.gov,False
majoritywhip.gov,majoritywhip.gov,False
makinghomeaffordable.gov,makinghomeaffordable.gov,False
malwareinvestigator.gov,malwareinvestigator.gov,False
manufacturing.gov,manufacturing.gov,True
marine.gov,marine.gov,False
marinecadastre.gov,marinecadastre.gov,True
max.gov,max.gov,False
mbda.gov,mbda.gov,True
mcc.gov,mcc.gov,True
mcctest.gov,mcctest.gov,False
mda.gov,mda.gov,False
medalofvalor.gov,medalofvalor.gov,False
medicaid.gov,medicaid.gov,True
medicalcountermeasures.gov,medicalcountermeasures.gov,True
medicalreservecorps.gov,medicalreservecorps.gov,False
medicare.gov,medicare.gov,True
medline.gov,medline.gov,False
medlineplus.gov,medlineplus.gov,True
medpac.gov,medpac.gov,False
mentalhealth.gov,mentalhealth.gov,True
mentor.gov,mentor.gov,False
mesh.gov,mesh.gov,False
mgi.gov,mgi.gov,True
mha.gov,mha.gov,False
mibp.gov,mibp.gov,False
militaryconsumer.gov,militaryconsumer.gov,True
mimedicare.gov,mimedicare.gov,False
mitigationcommission.gov,mitigationcommission.gov,True
mlkday.gov,mlkday.gov,False
mmc.gov,mmc.gov,False
mms.gov,mms.gov,False
mojavedata.gov,mojavedata.gov,True
moneyfactory.gov,moneyfactory.gov,True
moneyfactorystore.gov,moneyfactorystore.gov,True
mrlc.gov,mrlc.gov,False
msb.gov,msb.gov,False
msha.gov,msha.gov,True
mspb.gov,mspb.gov,False
mtbs.gov,mtbs.gov,False
mtmc.gov,mtmc.gov,False
